event,net,sta,ML_station_mean,ML_station_median,ML_station_std,n_horizontal_component,distance_km,distance_min_km,distance_max_km,header_ML,amplitude_h_nm_max,amplitude_h_nm_mean,amp_window_start,amp_window_end,s_pick,s_source,ML_formula,ML_HHE,ML_HHN,ML_HHZ,amp_nm_HHE,amp_nm_HHN,amp_nm_HHZ,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,abs_ML_station_minus_header
20051231172159_ML3.3,TW,DBVB,3.904989945134414,3.904989945134414,0.15114908363544172,2,249.2584686279297,249.2584686279297,249.2584686279297,3.299999952316284,934.3047728944075,752.71509183705,2005-12-31T17:23:11.689005,2005-12-31T17:24:48.871312,2005-12-31T17:23:11.689005,header,SEISAN_HUTTON_NM,4.011868487143167,3.7981114031256604,3.6271334367285215,934.3047728944075,571.1254107796924,385.25964226284765,3.904989945134414,0.15114908363544172,3.6271334367285215,-0.2778565084058924,0.6049899928181297,0.6049899928181297
20051231172159_ML3.3,TW,DHVB,3.5475484341274024,3.5475484341274024,0.02464311341883981,2,220.04331970214844,220.04331970214844,220.04331970214844,3.299999952316284,435.4194084386297,418.6315515610316,2005-12-31T17:23:09.279002,2005-12-31T17:24:29.394546,2005-12-31T17:23:09.279002,header,SEISAN_HUTTON_NM,3.5649737467354132,3.5301231215193916,3.5878866128104656,435.4194084386297,401.84369468343345,459.00841709036735,3.5475484341274024,0.02464311341883981,3.5878866128104656,0.04033817868306322,0.24754848181111822,0.24754848181111822
20051231172159_ML3.3,TW,LCVB,3.817576060341925,3.817576060341925,0.12565743222690387,2,180.39691162109375,180.39691162109375,180.39691162109375,3.299999952316284,1416.0051106857547,1178.252096315515,2005-12-31T17:22:57.359004,2005-12-31T17:24:02.963608,2005-12-31T17:22:57.359004,header,SEISAN_HUTTON_NM,3.906429282776058,3.7287228379077924,3.545252854864734,1416.0051106857547,940.4990819452753,616.4365666679992,3.817576060341925,0.12565743222690387,3.545252854864734,-0.2723232054771909,0.5175761080256409,0.5175761080256409
20051231172159_ML3.3,TW,MCVB,3.615748339255209,3.615748339255209,0.01838872822842812,2,284.2530212402344,284.2530212402344,284.2530212402344,3.299999952316284,287.01214494801894,278.671209748765,2005-12-31T17:23:20.499003,2005-12-31T17:25:12.201014,2005-12-31T17:23:20.499003,header,SEISAN_HUTTON_NM,3.6287511336829272,3.602745544827491,3.661769285322425,287.01214494801894,270.33027454951105,309.68375620900355,3.615748339255209,0.01838872822842812,3.661769285322425,0.04602094606721563,0.31574838693892504,0.31574838693892504
20051231172159_ML3.3,TW,TGVB,3.6823103121678455,3.6823103121678455,0.13020255463814914,2,211.58181762695312,211.58181762695312,211.58181762695312,3.299999952316284,764.1996328009038,632.1588856710612,2005-12-31T17:23:06.199000,2005-12-31T17:24:23.753545,2005-12-31T17:23:06.199000,header,SEISAN_HUTTON_NM,3.7743774214802928,3.5902432028553983,3.4676035285217317,764.1996328009038,500.11813854121846,377.0795079626936,3.6823103121678455,0.13020255463814914,3.4676035285217317,-0.21470678364611384,0.38231035985156137,0.38231035985156137
20051231172159_ML3.3,TW,TTVB,3.5275595000716367,3.5275595000716367,0.1399384332246492,2,212.33831787109375,212.33831787109375,212.33831787109375,3.299999952316284,539.7467062893259,440.97617615249055,2005-12-31T17:23:07.769000,2005-12-31T17:24:24.257879,2005-12-31T17:23:07.769000,header,SEISAN_HUTTON_NM,3.626510915153407,3.4286080849898664,3.5173622970723795,539.7467062893259,342.2056460156552,419.798983575654,3.5275595000716367,0.1399384332246492,3.5173622970723795,-0.010197202999257193,0.22755954775535248,0.22755954775535248
20060106182759_ML3.6,TW,DBVB,4.307555667603053,4.307555667603053,0.0037051736988601906,2,97.6240234375,97.6240234375,97.6240234375,3.5999999046325684,10168.532404385109,10107.55762731901,2006-01-06T18:28:38.729994,2006-01-06T18:29:11.982682,2006-01-06T18:28:38.729994,header,SEISAN_HUTTON_NM,4.304935714155115,4.310175621050991,3.9115100896485497,10046.582850252913,10168.532404385109,4060.623704430816,4.307555667603053,0.0037051736988601906,3.9115100896485497,-0.3960455779545029,0.7075557629704843,0.7075557629704843
20060106182759_ML3.6,TW,DHVB,4.368391094735699,4.368391094735699,0.32590094605409414,2,289.0690612792969,289.0690612792969,289.0690612792969,3.5999999046325684,2575.049301553548,1733.0393266137773,2006-01-06T18:29:21.760001,2006-01-06T18:31:19.612708,2006-01-06T18:29:21.760001,header,SEISAN_HUTTON_NM,4.137944325785738,4.59883786368566,4.274275330109581,891.0293516740065,2575.049301553548,1219.6157237677444,4.368391094735699,0.32590094605409414,4.274275330109581,-0.09411576462611837,0.7683911901031308,0.7683911901031308
20060106182759_ML3.6,TW,LCVB,3.9893439738446737,3.9893439738446737,0.0294680033907212,2,74.96392059326172,74.96392059326172,74.96392059326172,3.5999999046325684,7540.725727965039,7195.745557510082,2006-01-06T18:28:31.209998,2006-01-06T18:28:56.875947,2006-01-06T18:28:31.209998,header,SEISAN_HUTTON_NM,3.9685069488190665,4.010180998870281,3.787375392318568,6850.765387055125,7540.725727965039,4514.477972609487,3.9893439738446737,0.0294680033907212,3.787375392318568,-0.20196858152610586,0.3893440692121053,0.3893440692121053
20060106182759_ML3.6,TW,MCVB,4.4638783266212885,4.4638783266212885,0.12519879541232365,2,266.3656921386719,266.3656921386719,266.3656921386719,3.5999999046325684,2797.017522456635,2328.775208092732,2006-01-06T18:29:28.199995,2006-01-06T18:31:04.477128,2006-01-06T18:29:28.199995,header,SEISAN_HUTTON_NM,4.375349409388847,4.55240724385373,4.3929796270584225,1860.5328937288293,2797.017522456635,1937.6153676926149,4.4638783266212885,0.12519879541232365,4.3929796270584225,-0.07089869956286599,0.8638784219887201,0.8638784219887201
