event,ML_event_mean,ML_event_median,ML_event_std,n_station,distance_min_km,distance_max_km,distance_mean_km,distance_median_km,header_ML_mean,header_ML_median,amplitude_h_nm_mean,ML_formula,ML_event_std_filled0,ML_event_std_error,ML_event_mean_minus_header,ML_event_median_minus_header,abs_ML_event_mean_minus_header
20051231172159_ML3.3,3.6826220985164055,3.6490293257115276,0.15127559760800957,6,180.39691162109375,284.2530212402344,226.31197611490884,216.1908187866211,3.299999952316284,3.299999952316284,616.9008352143188,SEISAN_HUTTON_NM,0.15127559760800957,0.06175800411236916,0.38262214620012136,0.3490293733952434,0.38262214620012136
20060106182759_ML3.6,4.231018928290935,4.2204014412374775,0.17800927454595356,6,74.96392059326172,289.0690612792969,176.02981440226236,164.07809448242188,3.5999999046325684,3.5999999046325684,4784.362410173078,SEISAN_HUTTON_NM,0.17800927454595356,0.07267198202009799,0.631019023658367,0.6204015366049092,0.631019023658367
20060106182808,4.231018928290935,4.2204014412374775,0.17800927454595356,6,74.96392059326172,289.0690612792969,176.02981440226236,164.07809448242188,3.5999999046325684,3.5999999046325684,4784.362410173078,SEISAN_HUTTON_NM,0.17800927454595356,0.07267198202009799,0.631019023658367,0.6204015366049092,0.631019023658367
20060112010459_ML4.8,5.7908393785344074,5.786862915782787,0.0879063400431014,3,203.63694763183594,257.498779296875,236.63660176595053,248.77407836914062,4.800000190734863,4.800000190734863,66315.8022411335,SEISAN_HUTTON_NM,0.0879063400431014,0.050752749087359376,0.9908391877995442,0.9868627250479234,0.9908391877995442
20060115142929_ML3.0,3.418868322578027,3.4522098332272932,0.1562590923843664,4,21.472368240356445,307.1416015625,102.99198293685913,41.67698097229004,3.0,3.0,4268.877652206147,SEISAN_HUTTON_NM,0.1562590923843664,0.0781295461921832,0.4188683225780272,0.45220983322729325,0.4188683225780272
20060226161229_ML3.5,3.7306106775708843,3.8316200088216954,0.2836000597607079,10,40.3808708190918,298.0760803222656,173.71999473571776,173.90261840820312,3.5,3.5,3620.601247453013,SEISAN_HUTTON_NM,0.2836000597607079,0.08968221334037038,0.23061067757088427,0.3316200088216954,0.23061067757088427
20060316162059_ML3.2,3.3261966126497526,3.331040725823511,0.26266496621830454,8,116.62581634521484,260.1788024902344,189.27534103393555,180.85789489746094,3.200000047683716,3.200000047683716,399.9226386406361,SEISAN_HUTTON_NM,0.26266496621830454,0.09286608939654928,0.12619656496603682,0.13104067813979503,0.12619656496603682
20060403170559_ML3.8,4.086859424938136,4.098979862905283,0.22573166853741503,6,168.84536743164062,254.56124877929688,210.7468007405599,213.59896850585938,3.799999952316284,3.799999952316284,1735.8236192001798,SEISAN_HUTTON_NM,0.22573166853741503,0.09215456778395506,0.28685947262185163,0.298979910588999,0.28685947262185163
20060516142759_ML2.5,3.7568219063651167,3.8994443728079706,0.2617898861413127,3,150.91827392578125,287.82720947265625,242.05821736653647,287.4291687011719,3.4000000953674316,3.4000000953674316,593.8580656083601,SEISAN_HUTTON_NM,0.2617898861413127,0.15114446123480837,0.35682181099768506,0.499444277440539,0.35682181099768506
20061111184259_ML3.8,4.4109769587465895,4.556183896474575,0.45284586984740144,6,211.1722869873047,288.12274169921875,253.40064239501953,262.5150451660156,3.7166666189829507,3.799999952316284,3261.5607487629823,SEISAN_HUTTON_NM,0.45284586984740144,0.18487355220882268,0.6943103397636388,0.7561839441582912,0.6943103397636388
20061111184559,4.526482944207451,4.556183896474575,0.19978882265217313,6,150.56674194335938,288.12274169921875,235.54532623291016,243.97789001464844,3.799999952316284,3.799999952316284,3894.0188012101316,SEISAN_HUTTON_NM,0.19978882265217313,0.0815634453015376,0.7264829918911664,0.7561839441582912,0.7264829918911664
20061123174859_ML3.0,2.4674101776580946,3.0531048890649544,1.670010902688023,7,110.01609802246094,268.870849609375,204.37156459263392,220.87252807617188,3.0,3.0,195.62888901953505,SEISAN_HUTTON_NM,1.670010902688023,0.6312047907541425,-0.5325898223419054,0.053104889064954364,0.5325898223419054
20061123175055,2.4674101776580946,3.0531048890649544,1.670010902688023,7,110.01609802246094,268.870849609375,204.37156459263392,220.87252807617188,3.0,3.0,195.62888901953505,SEISAN_HUTTON_NM,1.670010902688023,0.6312047907541425,-0.5325898223419054,0.053104889064954364,0.5325898223419054
20061124120359_ML3.5,4.034297036568507,4.189751606821705,0.9435299184507324,16,84.1434097290039,293.8222961425781,197.2029685974121,198.2537384033203,3.5,3.5,3007.092727843724,SEISAN_HUTTON_NM,0.9435299184507324,0.2358824796126831,0.5342970365685069,0.6897516068217051,0.5342970365685069
20070401185859_ML3.0,3.4240804104354794,3.3446053022824893,0.23189711039662309,6,150.52615356445312,275.3470764160156,217.01627095540366,225.2402114868164,3.0,3.0,357.09202881747916,SEISAN_HUTTON_NM,0.23189711039662309,0.0946715988829311,0.4240804104354794,0.3446053022824893,0.4240804104354794
20070502033029_ML-nan,4.637633529713197,4.920089630943997,1.2698344697404125,10,100.422607421875,296.19793701171875,192.03091125488282,176.44253540039062,4.400000095367432,4.400000095367432,18854.931559866956,SEISAN_HUTTON_NM,1.2698344697404125,0.4015569175771866,0.23763343434576534,0.5200895355765658,0.23763343434576534
20070502035959_ML3.5,3.758620866747688,4.082987684077139,1.36505636185168,13,70.56570434570312,299.77008056640625,193.99987969031702,189.30831909179688,3.5,3.5,2930.811342969887,SEISAN_HUTTON_NM,1.36505636185168,0.37859851588881216,0.2586208667476879,0.5829876840771391,0.2586208667476879
20070502182759_ML3.1,3.0084534518447654,3.4067596246640264,1.5631256273915128,11,71.9040298461914,294.73406982421875,177.52001953125,157.61822509765625,3.0999999046325684,3.0999999046325684,764.0743242624771,SEISAN_HUTTON_NM,1.5631256273915128,0.4713001096587754,-0.09154645278780293,0.306759720031458,0.09154645278780293
