event,net,sta,comp,distance_km,header_ML,ML_station_mean,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,p_pick,p_label,p_source,p_source_component,disp_unit,vel_unit,remove_preP_mean_for_Pd,taup_smoothing_tau_sec,preP_noise_window_start,preP_noise_window_end,preP_noise_window_sec,preP_noise_npts_disp,preP_noise_npts_vel,preP_disp_mean_nm,preP_vel_mean_nmps,Pd_filter_applied,Pd_highpass_freq_Hz,Pd_highpass_corners,Pd_highpass_zerophase,preP_noise_absmax_nm,preP_noise_absmax_cm,preP_noise_rms_nm,preP_noise_rms_cm,Pd_3s_cm,Pd_peak_signed_3s_cm,Pd_peak_time_3s,Pd_peak_t_rel_3s_sec,tau_c_3s_sec,tau_p_max_3s_sec,tau_p_end_3s_sec,snr_absmax_3s,snr_rms_3s,npts_3s,Mpd_raw,Mpd_raw_minus_header,header_minus_Mpd_raw,Pd_extra_scale_factor,Pd_final_nm_to_cm_factor,Pd_3s_cm_calibrated,Mpd_calibrated,Mpd_calibrated_minus_header,header_minus_Mpd_calibrated
20051231172159_ML3.3,TW,DBVB,HHZ,249.2584686279297,3.299999952316284,3.904989945134414,3.904989945134414,0.1511490836354417,3.6271334367285215,-0.2778565084058924,0.6049899928181297,2005-12-31T17:22:43.279002,Pn,header,HHZ,nm,nm/s,True,1.0,2005-12-31T17:22:33.279002,2005-12-31T17:22:42.779002,9.5,951,951,-1.6756788346081255,12.88386313052388,True,0.075,2,False,142.92599162716132,1.4292599162716132e-05,58.658019253394166,5.865801925339416e-06,5.28305726450406e-06,5.28305726450406e-06,2005-12-31T17:22:44.598000,1.32,2.9397791253253662,7.0987265015352286,1.9824999038940072,0.3696358656923308,0.9006538801936043,301,2.025967575276253,-1.2740323770400312,1.2740323770400312,3.6035745791969416,3.6035745791969415e-07,1.9037890858808564e-05,2.789249223794174,-0.51075072852211,0.51075072852211
20051231172159_ML3.3,TW,DHVB,HHZ,220.04331970214844,3.299999952316284,3.5475484341274024,3.5475484341274024,0.0246431134188398,3.5878866128104656,0.0403381786830632,0.2475484818111182,2005-12-31T17:22:42.758998,Pg,header,HHZ,nm,nm/s,True,1.0,2005-12-31T17:22:32.758998,2005-12-31T17:22:42.258998,9.5,951,951,2.997036632593633,-11.266568993111925,True,0.075,2,False,123.57483959236347,1.2357483959236347e-05,58.97251746895429,5.8972517468954285e-06,1.0681908573706967e-05,-1.0681908573706967e-05,2005-12-31T17:22:43.688000,0.93,1.2287971990765831,4.094961116230554,0.8021876224251916,0.8644080468923445,1.811336709396948,301,2.3432205009599647,-0.9567794513563195,0.9567794513563195,3.6035745791969416,3.6035745791969415e-07,3.8493054193516285e-05,3.106502149477886,-0.19349780283839824,0.19349780283839824
20051231172159_ML3.3,TW,LCVB,HHZ,180.39691162109375,3.299999952316284,3.817576060341925,3.817576060341925,0.1256574322269038,3.545252854864734,-0.2723232054771909,0.5175761080256409,2005-12-31T17:22:33.999003,Pn,header,HHZ,nm,nm/s,True,1.0,2005-12-31T17:22:23.999003,2005-12-31T17:22:33.499003,9.5,951,951,-2.919295253154059,-7.289983808650229,True,0.075,2,False,113.42334773984696,1.1342334773984697e-05,60.050012352829455,6.005001235282945e-06,2.1864869963947373e-05,-2.1864869963947373e-05,2005-12-31T17:22:36.798000,2.8000000000000003,0.5955022017582715,14.459440234132018,0.4962293487957587,1.9277221488910423,3.641109986036021,301,2.607272390177597,-0.6927275621386872,0.6927275621386872,3.6035745791969416,3.6035745791969415e-07,7.87916895795275e-05,3.370554038695518,0.070554086379234,-0.070554086379234
20051231172159_ML3.3,TW,MCVB,HHZ,284.2530212402344,3.299999952316284,3.615748339255209,3.615748339255209,0.0183887282284281,3.661769285322425,0.0460209460672156,0.315748386938925,2005-12-31T17:22:47.739009,Pn,header,HHZ,nm,nm/s,True,1.0,2005-12-31T17:22:37.739009,2005-12-31T17:22:47.239009,9.5,951,951,10.807662632266558,5.01262451600823,True,0.075,2,False,95.95590034768895,9.595590034768894e-06,58.44883668061481,5.84488366806148e-06,1.597452553916266e-05,-1.597452553916266e-05,2005-12-31T17:22:49.747999,2.01,4.020801757089843,6.396287560826428,4.000665200589876,1.6647778282815515,2.733078440286697,301,2.79222642741506,-0.5077735249012241,0.5077735249012241,3.6035745791969416,3.6035745791969415e-07,5.756539414765888e-05,3.5555080759329822,0.25550812361669806,-0.25550812361669806
20051231172159_ML3.3,TW,TGVB,HHZ,211.58181762695312,3.299999952316284,3.6823103121678455,3.6823103121678455,0.1302025546381491,3.4676035285217317,-0.2147067836461138,0.3823103598515613,2005-12-31T17:22:37.749003,Pn,header,HHZ,nm,nm/s,True,1.0,2005-12-31T17:22:27.749003,2005-12-31T17:22:37.249003,9.5,951,951,-2.5343885637369183,-4.57034980383641,True,0.075,2,False,44.90723382512157,4.490723382512157e-06,25.247103089838166,2.5247103089838163e-06,6.629419693519492e-06,6.629419693519492e-06,2005-12-31T17:22:40.218000,2.47,8.194309875514135,10.446974848595165,10.13390033710134,1.4762476173295105,2.625814007226754,301,2.027118650973902,-1.272881301342382,1.272881301342382,3.6035745791969416,3.6035745791969415e-07,2.388960828239442e-05,2.7904002994918233,-0.5095996528244608,0.5095996528244608
20051231172159_ML3.3,TW,TTVB,HHZ,212.33831787109375,3.299999952316284,3.5275595000716367,3.5275595000716367,0.1399384332246492,3.5173622970723795,-0.0101972029992571,0.2275595477553524,2005-12-31T17:22:39.228999,Pn,header,HHZ,nm,nm/s,True,1.0,2005-12-31T17:22:29.228999,2005-12-31T17:22:38.728999,9.5,951,951,-4.813924613892088,11.030720141929873,True,0.075,2,False,249.6715300075918,2.4967153000759177e-05,137.8240236831737,1.3782402368317369e-05,1.2638488933453716e-05,1.2638488933453716e-05,2005-12-31T17:22:39.858000,0.63,3.005452324056125,7.875571622248995,2.2977945902150827,0.5062046494876454,0.9170018836851512,301,2.4142184796541413,-0.8857814726621429,0.8857814726621429,3.6035745791969416,3.6035745791969415e-07,4.5543737440055676e-05,3.1775001281720634,-0.12249982414422078,0.12249982414422078
20060106182759_ML3.6,TW,DBVB,HHZ,97.6240234375,3.5999999046325684,4.307555667603053,4.307555667603053,0.0037051736988601,3.9115100896485497,-0.3960455779545029,0.7075557629704843,2006-01-06T18:28:25.459998,Pg,header,HHZ,nm,nm/s,True,1.0,2006-01-06T18:28:15.459998,2006-01-06T18:28:24.959998,9.5,951,951,-11.341927390008314,-9.340088856310858,True,0.075,2,False,122.47599546297803,1.2247599546297804e-05,55.22665604148365,5.522665604148364e-06,0.0001310429250914,0.0001310429250914,2006-01-06T18:28:27.808000,2.35,0.5417543711203452,72.73395243980085,0.5342175723616378,10.699478260709474,23.72820201046671,301,3.1713092872376,-0.4286906173949685,0.4286906173949685,3.6035745791969416,3.6035745791969415e-07,0.00047222295364297807,3.934590935755521,0.33459103112295274,-0.33459103112295274
20060106182759_ML3.6,TW,LCVB,HHZ,74.96392059326172,3.5999999046325684,3.9893439738446737,3.9893439738446737,0.0294680033907212,3.787375392318568,-0.2019685815261058,0.3893440692121053,2006-01-06T18:28:21.690001,Pg,header,HHZ,nm,nm/s,True,1.0,2006-01-06T18:28:11.690001,2006-01-06T18:28:21.190001,9.5,951,951,0.1432717084868692,-2.5912360998570954,True,0.075,2,False,158.68294516878143,1.586829451687814e-05,70.73543614779868,7.073543614779868e-06,0.0001888260860806,-0.0001888260860806,2006-01-06T18:28:22.718000,1.03,0.6701575361096126,1.5809834676000043,0.5766067488491545,11.899582899712277,26.694694535578627,301,3.1728278558750658,-0.4271720487575026,0.4271720487575026,3.6035745791969416,3.6035745791969415e-07,0.0006804488836893035,3.936109504392987,0.33610959976041865,-0.33610959976041865
20060106182759_ML3.6,TW,MCVB,HHZ,266.3656921386719,3.5999999046325684,4.4638783266212885,4.4638783266212885,0.1251987954123236,4.3929796270584225,-0.0708986995628659,0.8638784219887201,2006-01-06T18:28:49.330000,Pn,header,HHZ,nm,nm/s,True,1.0,2006-01-06T18:28:39.330000,2006-01-06T18:28:48.830000,9.5,951,951,19.131583619057015,7.723918488050422,True,0.075,2,False,211.95937626104472,2.119593762610447e-05,90.87019017653324,9.087019017653324e-06,1.227524267327042e-05,-1.227524267327042e-05,2006-01-06T18:28:49.538000,0.21,2.326734926245109,16.52684063618643,1.9772911308226424,0.5791318548773463,1.3508547356865153,301,2.5822358632021265,-1.0177640414304419,1.0177640414304419,3.6035745791969416,3.6035745791969415e-07,4.4234752450870794e-05,3.3455175117200486,-0.25448239291251973,0.25448239291251973
20060106182759_ML3.6,TW,TGVB,HHZ,115.4921417236328,3.5999999046325684,4.133247214871902,4.133247214871902,0.2093966640088369,3.93638960001018,-0.196857614861722,0.533247310239334,2006-01-06T18:28:28.120001,Pn,header,HHZ,nm,nm/s,True,1.0,2006-01-06T18:28:18.120001,2006-01-06T18:28:27.620001,9.5,951,951,-6.848695420281291,7.748111988255495,True,0.075,2,False,121.36654508445484,1.2136654508445483e-05,49.829587200820114,4.982958720082011e-06,5.9892334732128275e-05,-5.9892334732128275e-05,2006-01-06T18:28:30.168000,2.05,0.5224010902939625,7.720694594792541,0.5469272971066444,4.934830656211829,12.01943224830539,301,2.8425622096839334,-0.757437694948635,0.757437694948635,3.6035745791969416,3.6035745791969415e-07,0.00021582649492945152,3.6058438582018555,0.00584395356928713,-0.00584395356928713
