event,ML_event_mean,ML_event_std,ML_event_median,n_station,distance_min_km,distance_max_km,distance_mean_km,header_ML_mean
20051231172159_ML3.3,10.13522216503972,0.22716357740704657,10.11934788930823,6,180.39691162109375,284.2530212402344,226.31197611490884,3.299999952316284
20060106182759_ML3.6,10.620570553418732,0.2832558587433666,10.602884153144903,6,74.96392059326172,289.0690612792969,176.02981440226236,3.5999999046325684
20060106182808,10.620570553418732,0.2832558587433666,10.602884153144903,6,74.96392059326172,289.0690612792969,176.02981440226236,3.5999999046325684
20060112010459_ML4.8,11.753332414404623,0.24767145199676077,11.883964652040275,3,203.63694763183594,257.498779296875,236.63660176595053,4.800000190734863
20060115142929_ML3.0,9.293366117988352,0.9069414491997565,9.658112991244723,4,21.472368240356445,307.1416015625,102.99198293685913,3.0
20060226161229_ML3.5,10.417030296532857,0.43650878330554127,10.390393790735125,10,40.3808708190918,298.0760803222656,173.71999473571776,3.5
20060316162059_ML3.2,10.076043964826793,0.35579214743170695,9.960007571462805,8,116.62581634521484,260.1788024902344,189.27534103393555,3.200000047683716
20060403170559_ML3.8,11.028127284966684,0.2344197719394347,11.056586947876966,6,168.84536743164062,254.56124877929688,210.7468007405599,3.799999952316284
20060516142759_ML2.5,9.975800514732278,0.33957726900911506,10.08173747731206,3,150.91827392578125,287.82720947265625,242.05821736653647,3.4000000953674316
20061111184259_ML3.8,10.446805115885203,0.5279544367627848,10.513744498135964,6,211.1722869873047,288.12274169921875,253.40064239501953,3.7166666189829507
20061111184559,10.604242722638753,0.23711623728622142,10.513744498135964,6,150.56674194335938,288.12274169921875,235.54532623291016,3.799999952316284
20061123174859_ML3.0,8.808855806269095,2.0556085769554753,9.292607343058158,7,110.01609802246094,268.870849609375,204.37156459263392,3.0
20061123175055,8.808855806269095,2.0556085769554753,9.292607343058158,7,110.01609802246094,268.870849609375,204.37156459263392,3.0
20061124120359_ML3.5,10.559068590821193,0.8684390125378996,10.746779210823021,16,84.1434097290039,293.8222961425781,197.2029685974121,3.5
20070401185859_ML3.0,9.870056709819666,0.17322375489628702,9.853686970276097,6,150.52615356445312,275.3470764160156,217.01627095540366,3.0
20070502033029_ML-nan,11.016159698549655,1.477542794426983,11.40795508803723,10,100.422607421875,296.19793701171875,192.03091125488282,4.400000095367432
20070502035959_ML3.5,10.153523679878495,1.518899217333358,10.503150889610566,13,70.56570434570312,299.77008056640625,193.99987969031702,3.5
20070502182759_ML3.1,9.687033407381493,1.7519307739011556,10.15394330404166,11,71.9040298461914,294.73406982421875,177.52001953125,3.0999999046325684
20070531154359_ML3.3,9.42996741703457,1.8588866627716278,9.864951512706973,9,78.32970428466797,280.6042175292969,182.09943389892578,3.299999952316284
20070607052959_ML3.3,9.553807543194415,1.6174134963841598,10.00423526185773,10,49.49027633666992,297.4626159667969,161.83542518615724,3.299999952316284
20070609121639_ML4.1,10.745630584274792,1.4031681045550815,11.13234717453065,9,148.80126953125,290.2500915527344,232.6447550455729,4.099999904632568
20070721084559_ML3.0,9.594384812567684,1.4076506960381119,10.024836688591328,12,18.786535263061523,264.0710144042969,136.11575524012247,3.0
20070906185059_ML4.2,11.015950398075665,0.858535083163549,11.144020653043436,15,77.45543670654297,299.2337341308594,226.06425018310546,4.173333152135213
20070906185146,11.059942039190076,0.8732234406033836,11.153115599964684,14,77.45543670654297,299.2337341308594,223.73152651105607,4.199999809265137
20080110223559_ML2.3,9.415257434170796,0.6562352646134887,9.603525484936624,7,43.69486999511719,260.5063781738281,140.21710532052177,2.8714284896850586
20080210024059_ML3.1,10.111845837995004,0.35834897228544166,10.029814262670577,6,52.030479431152344,253.78538513183594,165.42032750447592,3.0999999046325684
20080225230059_ML3.0,10.144825842169379,0.290197541093588,10.126417742202632,9,69.47908020019531,267.0560302734375,169.84070926242404,3.0
20080514114559_ML4.7,10.953889085469473,0.36634355771945526,10.879597589189451,4,163.22299194335938,244.55178833007812,206.70849227905273,4.699999809265137
20080514114959_ML3.5,10.950056427007446,0.4121108511490373,10.748898558637853,3,164.9890594482422,244.20352172851562,196.54615783691406,3.5
