event,net,sta,comp,file,distance_km,header_ML,ML_component,origin_time,p_pick,p_source,s_pick,s_source,surface_pick,amp_window_start,amp_window_end,amp_window_sec,peak_time,peak_signed_input_unit,amplitude_raw_input_unit,amplitude_mm,input_amplitude_to_mm,npts_window
20180108232005_ML4.3,VN,MCVB,HHE,20180108232005_ML4.3_VN_MCVB_HHE.SAC,154.1712646484375,4.300000190734863,9.781259025211465,2018-01-08T23:21:17.958000,2018-01-08T23:21:44.016997,header,2018-01-08T23:22:06.666999,header,2018-01-08T23:23:00.738843,2018-01-08T23:22:06.666999,2018-01-08T23:22:58.738843,52.071844,2018-01-08T23:22:20.268000,-2952.510986328125,2952.510986328125,2952510.986328125,1000.0,5208
20180108232005_ML4.3,VN,MCVB,HHN,20180108232005_ML4.3_VN_MCVB_HHN.SAC,154.1712646484375,4.300000190734863,7.131078602968778,2018-01-08T23:21:17.958000,2018-01-08T23:21:44.016997,header,2018-01-08T23:22:06.666999,header,2018-01-08T23:23:00.738843,2018-01-08T23:22:06.666999,2018-01-08T23:22:58.738843,52.071844,2018-01-08T23:22:13.157000,-6.60710334777832,6.60710334777832,6607.10334777832,1000.0,5208
20180108232005_ML4.3,VN,MLVB,HHE,20180108232005_ML4.3_VN_MLVB_HHE.SAC,71.05638885498047,4.300000190734863,11.340559726083391,2018-01-08T23:21:04.677999,2018-01-08T23:21:17.457999,header,2018-01-08T23:21:24.979825,theory,2018-01-08T23:21:52.048925,2018-01-08T23:21:24.979825,2018-01-08T23:21:50.048925,25.069101,2018-01-08T23:21:46.637999,363064.40625,363064.40625,363064406.25,1000.0,2508
20180108232005_ML4.3,VN,MLVB,HHN,20180108232005_ML4.3_VN_MLVB_HHN.SAC,71.05638885498047,4.300000190734863,11.167046368347538,2018-01-08T23:21:04.677999,2018-01-08T23:21:17.457999,header,2018-01-08T23:21:24.979825,theory,2018-01-08T23:21:52.048925,2018-01-08T23:21:24.979825,2018-01-08T23:21:50.048925,25.069101,2018-01-08T23:21:46.228000,-243483.9375,243483.9375,243483937.5,1000.0,2508
20180108232005_ML4.3,VN,NNU,HHE,20180108232005_ML4.3_VN_NNU_HHE.SAC,86.16893768310547,4.300000190734863,10.903753882025395,2018-01-08T23:21:07.200000,2018-01-08T23:21:22.499999,header,2018-01-08T23:21:31.819697,theory,2018-01-08T23:22:04.645959,2018-01-08T23:21:31.819697,2018-01-08T23:22:02.645959,30.826262,2018-01-08T23:21:53.340000,-100381.8671875,100381.8671875,100381867.1875,1000.0,3084
20180108232005_ML4.3,VN,NNU,HHN,20180108232005_ML4.3_VN_NNU_HHN.SAC,86.16893768310547,4.300000190734863,10.844541478874671,2018-01-08T23:21:07.200000,2018-01-08T23:21:22.499999,header,2018-01-08T23:21:31.819697,theory,2018-01-08T23:22:04.645959,2018-01-08T23:21:31.819697,2018-01-08T23:22:02.645959,30.826262,2018-01-08T23:21:49.810000,-87587.6484375,87587.6484375,87587648.4375,1000.0,3084
20180108232005_ML4.3,VN,PLVB,HHE,20180108232005_ML4.3_VN_PLVB_HHE.SAC,354.2330322265625,4.300000190734863,10.3423483555325,2018-01-08T23:21:52.278000,2018-01-08T23:22:52.657998,header,2018-01-08T23:23:33.487438,theory,2018-01-08T23:25:48.433355,2018-01-08T23:23:33.487438,2018-01-08T23:25:46.433355,132.945917,2018-01-08T23:23:41.648000,-1787.051513671875,1787.051513671875,1787051.513671875,1000.0,13296
20180108232005_ML4.3,VN,PLVB,HHN,20180108232005_ML4.3_VN_PLVB_HHN.SAC,354.2330322265625,4.300000190734863,10.358611809549977,2018-01-08T23:21:52.278000,2018-01-08T23:22:52.657998,header,2018-01-08T23:23:33.487438,theory,2018-01-08T23:25:48.433355,2018-01-08T23:23:33.487438,2018-01-08T23:25:46.433355,132.945917,2018-01-08T23:23:42.598000,-1855.2418212890625,1855.2418212890625,1855241.8212890625,1000.0,13296
20180108232005_ML4.3,VN,SPVB,HHE,20180108232005_ML4.3_VN_SPVB_HHE.SAC,123.41817474365234,4.300000190734863,11.070816975946489,2018-01-08T23:21:26.639000,2018-01-08T23:21:50.979000,header,2018-01-08T23:22:01.901335,theory,2018-01-08T23:22:48.917783,2018-01-08T23:22:01.901335,2018-01-08T23:22:46.917783,45.016448,2018-01-08T23:22:05.339000,-84163.890625,84163.890625,84163890.625,1000.0,4503
20180108232005_ML4.3,VN,SPVB,HHN,20180108232005_ML4.3_VN_SPVB_HHN.SAC,123.41817474365234,4.300000190734863,11.014723122323565,2018-01-08T23:21:26.639000,2018-01-08T23:21:50.979000,header,2018-01-08T23:22:01.901335,theory,2018-01-08T23:22:48.917783,2018-01-08T23:22:01.901335,2018-01-08T23:22:46.917783,45.016448,2018-01-08T23:22:05.018999,73965.96875,73965.96875,73965968.75,1000.0,4503
