event,net,sta,comp,distance_km,header_ML,ML_station_mean,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,p_pick,p_label,p_source,p_source_component,disp_unit,vel_unit,remove_preP_mean_for_Pd,taup_smoothing_tau_sec,preP_noise_window_start,preP_noise_window_end,preP_noise_window_sec,preP_noise_npts_disp,preP_noise_npts_vel,preP_disp_mean_nm,preP_vel_mean_nmps,Pd_filter_applied,Pd_highpass_freq_Hz,Pd_highpass_corners,Pd_highpass_zerophase,preP_noise_absmax_nm,preP_noise_absmax_cm,preP_noise_rms_nm,preP_noise_rms_cm,Pd_3s_cm,Pd_peak_signed_3s_cm,Pd_peak_time_3s,Pd_peak_t_rel_3s_sec,tau_c_3s_sec,tau_p_max_3s_sec,tau_p_end_3s_sec,snr_absmax_3s,snr_rms_3s,npts_3s,Mpd_Wu_3s,Mpd_Wu_3s_minus_header_ML,header_ML_minus_Mpd_Wu_3s
20161021130441_M3.2,VN,BC2,HHZ,179.60693359375,3.200000047683716,3.3441605006256023,3.3441605006256023,0.029325719937692,3.079142855164039,-0.2650176454615631,0.1441604529418865,2016-10-21T13:05:12.052122,P,header,HHZ,nm,nm/s,True,1.0,2016-10-21T13:05:02.052122,2016-10-21T13:05:11.552122,9.5,951,951,-12.053896142294196,6.468476964317007,True,0.075,2,False,130.84472676787954,0.00013084472676787952,73.74051755020712,7.374051755020711e-05,0.00017451337890228983,-0.00017451337890228983,2016-10-21T13:05:14.738000,2.69,2.4179470614035665,6.621671434556069,2.954558543866175,1.3337440737056154,2.3665873891306815,301,3.8404375792408185,0.6404375315571027,-0.6404375315571027
20161021130441_M3.2,VN,BC3,HHZ,181.38735961914065,3.200000047683716,3.2279236981628454,3.2279236981628454,0.0269054751377532,3.222798822410823,-0.0051248757520223,0.0279236504791295,2016-10-21T13:05:43.449995,Pg,header,HHE,nm,nm/s,True,1.0,2016-10-21T13:05:33.449995,2016-10-21T13:05:42.949995,9.5,951,951,18.445920357608436,-13.030978769576894,True,0.075,2,False,234.19448152299327,0.00023419448152299326,102.13041629284818,0.00010213041629284817,0.00015743254503582538,-0.00015743254503582538,2016-10-21T13:05:44.129999,0.68,2.070929524737047,10.650064945931405,1.7575894854962033,0.6722299518418355,1.5414853943648306,301,3.7871735985753823,0.5871735508916665,-0.5871735508916665
20161021130441_M3.2,VN,NNU,HHZ,127.84062957763672,3.200000047683716,3.763992633378585,3.763992633378585,0.0523935976484225,3.739388695567386,-0.0246039378111992,0.5639925856948693,2016-10-21T13:05:04.709999,Pg,header,HHZ,nm,nm/s,True,1.0,2016-10-21T13:04:54.709999,2016-10-21T13:05:04.209999,9.5,951,951,-552.3752945285713,234.57335485151071,True,0.075,2,False,1443.721693780295,0.001443721693780295,744.5690414651172,0.0007445690414651171,0.0015343076029715706,0.0015343076029715706,2016-10-21T13:05:04.789000,0.08,6.709251619481932,45.47937724001716,4.448273093813485,1.0627447170611408,2.060665321180229,301,4.856743491387196,1.6567434437034798,-1.6567434437034798
20161028232611_M3.1,VN,BC2,HHZ,175.07260131835938,3.0999999046325684,3.1894709352693047,3.1894709352693047,0.0344666162094303,2.936014122814427,-0.2534568124548775,0.0894710306367363,2016-10-28T23:26:40.082216,P,header,HHZ,nm,nm/s,True,1.0,2016-10-28T23:26:30.082216,2016-10-28T23:26:39.582216,9.5,951,951,0.1385569324987808,12.049608484551259,True,0.075,2,False,84.68921484268822,8.468921484268821e-05,43.060235680669194,4.306023568066919e-05,8.525856047396452e-05,8.525856047396452e-05,2016-10-28T23:26:40.337000,0.25,1.1199247483236263,34.932915783266594,1.2542450235182023,1.0067227643134238,1.979983600327557,301,3.393021633930995,0.2930217292984265,-0.2930217292984265
20161121221500_M3.1,VN,MLVB,HHZ,124.33051300048828,3.0,4.128915004578156,4.128915004578156,0.1495284206074229,4.1974567873371615,0.0685417827590058,1.1289150045781555,2016-11-21T22:15:20.897866,P,header,HHE,nm,nm/s,True,1.0,2016-11-21T22:15:10.897866,2016-11-21T22:15:20.397866,9.5,951,951,402.4504101770089,-242.3283675080879,True,0.075,2,False,2974.3483609476807,0.0029743483609476805,1216.0025643188887,0.0012160025643188886,0.003423042066749667,-0.003423042066749667,2016-11-21T22:15:21.397000,0.5,12.207773816672567,106.8789321901981,9.57866550437706,1.1508544566242485,2.81499576332472,301,5.311769033321503,2.311769033321503,-2.311769033321503
20161121221500_M3.1,VN,NNU,HHZ,105.4611587524414,3.0,4.129163144984599,4.129163144984599,0.1815110648590464,4.082714394631246,-0.0464487503533526,1.129163144984599,2016-11-21T22:15:17.700336,P,header,HHZ,nm,nm/s,True,1.0,2016-11-21T22:15:07.700336,2016-11-21T22:15:17.200336,9.5,951,951,102.0058425852301,-490.3576528633291,True,0.075,2,False,3562.4196694321427,0.0035624196694321424,2152.722125525694,0.002152722125525694,0.0008064761635456617,-0.0008064761635456617,2016-11-21T22:15:17.700000,0.0,2.8581396793465377,5.58871804553171,2.535422109289084,0.2263843787035388,0.37463087036777704,301,4.316420246153039,1.3164202461530392,-1.3164202461530392
20161216010941_M3.1,RM,SLV,HHZ,99.44541931152344,3.0999999046325684,2.8499599070400747,2.8499599070400747,0.2166875190316571,2.8723786864864627,0.0224187794463879,-0.2500399975924936,2016-12-16T01:09:59.039941,P,header,HHE,nm,nm/s,True,1.0,2016-12-16T01:09:49.039941,2016-12-16T01:09:58.539941,9.5,951,951,3.7120175568803435,-6.709981230141643,True,0.075,2,False,423.04945872400805,0.00042304945872400805,217.16652264994616,0.00021716652264994614,6.934291251329705e-05,-6.934291251329705e-05,2016-12-16T01:10:00.008000,0.97,0.9764114695348256,1.6627482228372414,0.8167651017812448,0.16391207005073954,0.31930756024063567,301,2.8074659969470828,-0.2925339076854856,0.2925339076854856
20161216010941_M3.1,VN,DBVB,HHZ,58.75263977050781,3.0999999046325684,2.815364460394992,2.815364460394992,0.1274826757139371,2.711898497968778,-0.1034659624262142,-0.2846354442375762,2016-12-16T01:09:51.999875,P,header,HHZ,nm,nm/s,True,1.0,2016-12-16T01:09:41.999875,2016-12-16T01:09:51.499875,9.5,951,951,-6.382383031436367,22.67457012409634,True,0.075,2,False,436.00678602752845,0.00043600678602752845,236.5537613460196,0.0002365537613460196,0.000271734869067999,-0.000271734869067999,2016-12-16T01:09:53.208001,1.21,0.34407250202372813,0.5561635060026933,0.37208686777197886,0.6232354123287484,1.148723518585351,301,3.1902918679974674,0.09029196336489909,-0.09029196336489909
20170113224953_M3.0,VN,CCAB,HHZ,110.51898193359376,3.0,3.779108002319628,3.779108002319628,0.245778175732125,3.640066369695525,-0.139041632624103,0.779108002319628,2017-01-13T22:50:12.769000,Pg,header,HHZ,nm,nm/s,True,1.0,2017-01-13T22:50:02.769000,2017-01-13T22:50:12.269000,9.5,951,951,276.4950378869904,-92.1287461772998,True,0.075,2,False,803.0094879878592,0.0008030094879878591,245.85776790081337,0.00024585776790081334,0.0010479662015096711,-0.0010479662015096711,2017-01-13T22:50:13.080000,0.31,3.4483964067804185,40.875341022415704,2.787752048822621,1.3050483427482436,4.262489692546356,301,4.510687752600618,1.5106877526006182,-1.5106877526006182
20170113224953_M3.0,VN,MTEB,HHZ,74.37507629394531,3.0,3.487359454742874,3.487359454742874,0.090323933846764,3.397166378836843,-0.0901930759060309,0.4873594547428741,2017-01-13T22:50:06.412978,P,header,HHZ,nm,nm/s,True,1.0,2017-01-13T22:49:56.412978,2017-01-13T22:50:05.912978,9.5,951,951,-32.16491491382482,125.77109688801156,True,0.075,2,False,743.4531993999165,0.0007434531993999164,341.2222356821401,0.00034122223568214006,0.0006778464865755197,0.0006778464865755197,2017-01-13T22:50:06.870001,0.46,1.7154026745818112,13.298987028846092,1.4246207617320719,0.9117540782965873,1.9865249555628504,301,3.927378919796442,0.9273789197964422,-0.9273789197964422
