event,header_ML_mean,ML_ref_mean,ML_ref_median,ML_ref_std,n_station,distance_km_min,distance_km_max,distance_km_mean,Pd_2s_nm_mean,Pd_2s_nm_median,Pd_2s_nm_std,tau_c_2s_sec_mean,tau_c_2s_sec_median,tau_c_2s_sec_std,tau_p_max_2s_sec_mean,tau_p_max_2s_sec_median,tau_p_max_2s_sec_std,tau_p_end_2s_sec_mean,tau_p_end_2s_sec_median,tau_p_end_2s_sec_std,snr_absmax_2s_mean,snr_absmax_2s_median,snr_absmax_2s_std,snr_rms_2s_mean,snr_rms_2s_median,snr_rms_2s_std,Pd_3s_nm_mean,Pd_3s_nm_median,Pd_3s_nm_std,tau_c_3s_sec_mean,tau_c_3s_sec_median,tau_c_3s_sec_std,tau_p_max_3s_sec_mean,tau_p_max_3s_sec_median,tau_p_max_3s_sec_std,tau_p_end_3s_sec_mean,tau_p_end_3s_sec_median,tau_p_end_3s_sec_std,snr_absmax_3s_mean,snr_absmax_3s_median,snr_absmax_3s_std,snr_rms_3s_mean,snr_rms_3s_median,snr_rms_3s_std,Pd_5s_nm_mean,Pd_5s_nm_median,Pd_5s_nm_std,tau_c_5s_sec_mean,tau_c_5s_sec_median,tau_c_5s_sec_std,tau_p_max_5s_sec_mean,tau_p_max_5s_sec_median,tau_p_max_5s_sec_std,tau_p_end_5s_sec_mean,tau_p_end_5s_sec_median,tau_p_end_5s_sec_std,snr_absmax_5s_mean,snr_absmax_5s_median,snr_absmax_5s_std,snr_rms_5s_mean,snr_rms_5s_median,snr_rms_5s_std
20051231172159_ML3.3,3.299999952316284,3.6826220985164055,3.6490293257115276,0.15127559760800957,6,180.39691162109375,284.2530212402344,226.31197611490884,104.07729087073763,105.23631536958644,34.679990249593104,2.799432801464485,3.0208344548947563,1.6282904484413743,5.67247517719148,5.483187861306489,2.629293985076277,2.778027049604415,3.0588343979661436,1.6487357760336034,0.811861876294615,0.7696424567692531,0.2442934081523066,1.66512626420512,1.5961547788738717,0.5034779508731748,127.43938892880242,129.48742237821864,38.71406583583033,3.1666249883520403,3.609926900870129,2.0288287347351526,6.199077306148681,6.541100671075566,2.54283008952929,3.332095103735264,3.367534097926119,2.671043875253433,1.0821474799442152,1.0086443771805653,0.5414253240553012,2.2039064876267433,2.1158671354177048,1.0545455549534313,131.2956008281346,136.29154575230274,40.904999185271684,2.141727751752527,2.086669461370802,1.3680644836464808,6.57317304443827,7.059581926316234,2.858317340378042,1.7520197253961163,1.4360255014144743,1.476457994522443,1.0983549157486838,1.01232160905424,0.5243904761919266,2.2331863783490347,2.124026705106003,1.0180023450706028
20060106182759_ML3.6,3.5999999046325684,4.2035444950019825,4.133247214871902,0.1842492704092814,5,74.96392059326172,266.3656921386719,153.42196502685547,819.2626184430394,310.70611668515215,810.2009639626668,1.8686094835730764,0.7857821375593901,1.7004486195023694,32.981596818833324,6.682278762249099,62.067568736113024,1.9441514128544761,0.7747979002810582,1.9626139643723224,6.210757652021686,2.9002437987138467,6.424269959286603,12.03527081446699,6.135304177247168,11.657375692658903,868.5235193219456,557.0106210796835,778.4143531705946,1.671186596101904,0.7099605231515275,1.4526139604880697,33.09424122054061,6.682278762249099,62.00393932701245,1.372799878415201,0.6106989757628355,1.102293986587351,6.670576801439585,5.199339545803346,6.206675325827736,13.00799260752899,10.99891314255717,11.23733870439871,877.5976304167634,557.0106210796835,768.329957922327,1.460371199180977,0.672147205871703,1.3328089639724858,33.09424122054061,6.682278762249099,62.00393932701245,1.3945203940403783,0.5436372076551478,1.601217496809342,6.712181282418657,5.199339545803346,6.157539511404369,13.097968354846367,10.99891314255717,11.124538104168895
20060106182808,3.5999999046325684,4.2035444950019825,4.133247214871902,0.1842492704092814,5,74.96392059326172,266.3656921386719,153.42196502685547,819.2626184430394,310.70611668515215,810.2009639626668,1.8686094835730764,0.7857821375593901,1.7004486195023694,32.981596818833324,6.682278762249099,62.067568736113024,1.9441514128544761,0.7747979002810582,1.9626139643723224,6.210757652021686,2.9002437987138467,6.424269959286603,12.03527081446699,6.135304177247168,11.657375692658903,868.5235193219456,557.0106210796835,778.4143531705946,1.671186596101904,0.7099605231515275,1.4526139604880697,33.09424122054061,6.682278762249099,62.00393932701245,1.372799878415201,0.6106989757628355,1.102293986587351,6.670576801439585,5.199339545803346,6.206675325827736,13.00799260752899,10.99891314255717,11.23733870439871,877.5976304167634,557.0106210796835,768.329957922327,1.460371199180977,0.672147205871703,1.3328089639724858,33.09424122054061,6.682278762249099,62.00393932701245,1.3945203940403783,0.5436372076551478,1.601217496809342,6.712181282418657,5.199339545803346,6.157539511404369,13.097968354846367,10.99891314255717,11.124538104168895
20060112010459_ML4.8,4.800000190734863,5.7908393785344074,5.786862915782787,0.0879063400431014,3,203.6369476318359,257.498779296875,236.63660176595053,454.27156441832926,301.03293075211167,266.8043403501531,2.664395442820597,2.447706085722602,0.5400463883365213,17.240004099162995,8.807367254857365,19.31675386986292,2.4157901192049938,2.2588559918987396,0.3170293735919927,1.2480442501213078,0.9301407789156534,1.0415451845549009,2.40058259822171,2.0012742753878032,1.8077730266446583,1301.7682263062445,515.3104530369508,1552.8965029998199,2.8524546368626376,2.4411058877639764,0.9843196782562719,17.240004099162995,8.807367254857365,19.31675386986292,2.9929507992655875,2.8258854904521176,1.3313153220541891,3.7984443296409114,0.9301407789156534,5.178288544948031,7.049895851527743,2.0012742753878032,9.257993277126754,2643.649724037035,1318.957242587732,2662.554870908848,3.819210863656712,4.64261008166345,1.895915830132738,18.826296524377167,8.807367254857365,17.76646998785957,5.066685740504707,6.008510121543093,3.150810043225395,7.542484350864921,2.8058697431545903,9.121665672037391,14.138031626017122,6.037059189696563,16.1711990010955
20060115142929_ML3.0,3.0,3.489298878210065,3.5045145668194952,0.08284067195136371,3,35.64474868774414,307.1416015625,130.16518783569336,447.3282652819527,602.0093210081949,372.93767952371195,0.31868428071796806,0.13109958793082166,0.3673740476179344,15.773164364504785,0.9749121129499331,26.222585126639963,0.3568570955070159,0.1413203276151836,0.4301757674971508,2.690039828766063,2.743252922861961,2.4599515019920015,6.006161917338077,5.412529865537549,5.921567740593928,460.0005661099056,602.0093210081949,351.27239676133166,0.6609413843432921,0.14602020431769414,0.942402144387016,16.34240372515814,2.6826301949099958,25.75509324622305,0.9832124274219526,0.16954476098658008,1.4721801964045105,2.807822725009032,2.743252922861961,2.283530235814018,6.239383830290106,5.412529865537549,5.595385559774532,903.463610594362,602.0093210081949,1020.3495130502615,0.8169207799870994,0.1286799861429369,1.2089847944274899,16.720644097258372,3.817351311210698,25.46083250780001,0.76389091571947,0.1322352277506036,1.1097948359090595,5.977436363102676,2.743252922861961,7.50643960426398,13.779208416599891,5.412529865537549,18.217598939705287
20060226161229_ML3.5,3.5,3.7306106775708834,3.831620008821695,0.2836000597607078,10,40.3808708190918,298.0760803222656,173.71999473571776,503.14598784582086,228.6900494561994,809.6394979326185,4.197096466607507,1.7532766980436234,7.207347686494827,68.78888146399328,15.17002907114415,143.5344718205245,3.9227894049977494,1.554587318457513,7.400547030882917,1.6601127052281606,0.8463791163214791,1.7716870236915394,3.431850813737359,1.6594961280176685,3.725852682718258,542.6273705972856,327.3755414368884,797.5955631429066,3.961185864061772,1.1268834000749135,8.15434059586064,68.78888146399328,15.17002907114415,143.5344718205245,4.0997573446481805,0.9124888325413488,9.668528455669426,1.7685964793890452,1.0776990375187794,1.7092136048175695,3.6189142455201093,1.9411361110122085,3.6057172052715205,986.4305493228348,359.3163831116931,1807.37042184889,2.1833951487763543,1.0282850772308372,3.2540148482166136,68.78888146399328,15.17002907114415,143.5344718205245,1.283114353258258,0.8570626486263865,1.4756203946359117,3.685436401711305,1.12522091882215,6.29470526665642,7.715700625563795,2.1342737580843405,13.606263105209743
20060316162059_ML3.2,3.200000047683716,3.3261966126497526,3.331040725823511,0.2626649662183045,8,116.62581634521484,260.1788024902344,189.27534103393555,119.42342622440282,122.15763886850405,53.17841206681748,1.8667430814009103,1.3020633220260158,1.7808370710586738,10.536128393664352,5.691561808876082,11.41484525430788,1.8982913928906613,1.1267275287494487,1.9072157645979406,1.3563969276787275,1.287464222133012,0.665032500400308,2.7207199535082327,2.471666697560103,1.3721660940092912,127.30254133346052,122.15763886850405,45.87390594804988,1.6197601718000405,1.0181793241450166,1.306875608672159,10.536128393664352,5.691561808876082,11.41484525430788,1.596346040243371,1.171121316679753,1.3139821463631443,1.4399889767251488,1.397960064858669,0.591029897464605,2.9086819953760266,2.660219521710568,1.2194184910846757,129.9058453313584,122.15763886850405,42.522502031211225,1.3745072952506974,1.121364524493879,0.8913569951141872,10.63998681124337,6.1069954791921575,11.354164412443229,1.0805344534915373,1.1384441405676753,0.592984271939929,1.4983522349772247,1.4844439164232315,0.6256244348392991,3.024603609863872,2.8515516397229232,1.2785949049629022
20060403170559_ML3.8,3.799999952316284,4.086859424938136,4.098979862905283,0.2257316685374152,6,168.84536743164062,254.56124877929688,210.7468007405599,241.99398949673514,220.17202451801637,106.19237262521506,0.4908741393621186,0.36204779424777667,0.3750780321103602,13.047047941890114,7.861598634712138,12.244753740262764,0.46639698473853847,0.3625893346545301,0.3113515235127537,2.1670701855295555,1.7949539601150517,1.4581817252243385,5.232894558998119,4.970103055077951,3.373433587326972,242.56011091600598,220.17202451801637,107.23456537737626,0.44283422611866324,0.33218864454295927,0.31296475354497494,13.047047941890114,7.861598634712138,12.244753740262764,0.37883350616637895,0.29838236581567235,0.23223584780961437,2.1735912909862676,1.7949539601150517,1.471569807834338,5.246631484174411,4.970103055077951,3.3958930335872,253.04401416511078,223.57824289795604,97.36089132192961,0.42192467650537874,0.28366079302543623,0.2913019871645367,13.047047941890114,7.861598634712138,12.244753740262764,0.4241495045962304,0.21976097072193254,0.35923983063611337,2.2478728157668457,1.8215378148453967,1.4081879365459247,5.439497018018067,5.426237810305322,3.238108514617977
20060516142759_ML2.5,3.4000000953674316,3.7568219063651167,3.89944437280797,0.2617898861413126,3,150.91827392578125,287.82720947265625,242.05821736653647,268.1236263269772,89.10381041675782,331.133265318431,2.504361572756749,1.2163200673604708,2.496451069136842,3.6179436318152405,2.381033393276297,2.7929448245579063,2.7045340275325103,0.9965971811632618,3.1101364840873993,1.2745394018235467,0.9708745482296104,0.8528071871215407,2.66817045605209,2.2481598731298646,1.5992764510332818,268.1236263269772,89.10381041675782,331.133265318431,2.7087219543622774,1.0539358424204806,3.020360232586191,4.272347372854154,2.381033393276297,3.919598635575934,3.437785637216383,0.7748302644833924,4.625604699012118,1.2745394018235467,0.9708745482296104,0.8528071871215407,2.66817045605209,2.2481598731298646,1.5992764510332818,300.23236300096806,157.32107437622943,304.8012842557731,2.8745721356696667,1.1206929051865984,3.18865877237665,4.5383091898233845,2.381033393276297,4.3784959107289865,3.173826764272473,1.377759555948225,3.784302569896915,1.580166893853183,1.4879728773534313,0.6165460283297115,3.3268932032397927,3.1950138501872507,1.0489418336457323
20061111184259_ML3.8,3.7166666189829507,4.4109769587465895,4.556183896474575,0.45284586984740144,6,211.1722869873047,288.12274169921875,253.40064239501953,209.95677998652204,180.95665419138538,105.03822275966438,4.052793388961898,3.2162460367706913,2.4719728613691325,1323.1169791533969,13.650148814452095,3163.1990956239188,4.061379663549967,3.5788342438642733,1.4091818747064393,0.9714769196448253,0.9886775769236567,0.35317161505275124,1.896266924819896,1.85488247499245,0.6853720067480534,228.7608749368801,193.5389600995885,110.29072379108082,3.8727152259217648,3.3636716353855753,1.9624080586081334,1323.331682786351,14.12736428250094,3163.0917351655235,3.716915047600457,3.9781286799572992,1.4379685123682073,1.0898323403199364,1.0217631755354553,0.5160275809456109,2.113607018804567,1.85488247499245,0.939027055813097,317.9743294837877,256.81082297565825,207.3898638249575,3.0137795828568805,2.675120124697064,2.4056514800126076,1323.331682786351,14.12736428250094,3163.0917351655235,2.6021644835060074,1.717199022673664,2.584797607400316,1.6630074832878077,1.1458731730389018,1.4203635652398336,3.121623128488521,2.5438978631746303,2.3109609560266677
