event,net,sta,ML_station_mean,ML_station_median,ML_station_std,n_horizontal_component,distance_km,distance_min_km,distance_max_km,header_ML,amplitude_h_nm_max,amplitude_h_nm_mean,amp_window_start,amp_window_end,s_pick,s_source,ML_formula,ML_HHE,ML_HHN,ML_HHZ,amp_nm_HHE,amp_nm_HHN,amp_nm_HHZ,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,abs_ML_station_minus_header,reject_reason,pass_filter
20051231172159_ML3.3,TW,DBVB,3.904989945134414,3.904989945134414,0.1511490836354417,2,249.2584686279297,249.2584686279297,249.2584686279297,3.299999952316284,934.3047728944076,752.71509183705,2005-12-31T17:23:11.689005,2005-12-31T17:24:48.871312,2005-12-31T17:23:11.689005,header,SEISAN_HUTTON_NM,4.011868487143167,3.798111403125661,3.6271334367285215,934.3047728944076,571.1254107796924,385.2596422628477,3.904989945134414,0.1511490836354417,3.6271334367285215,-0.2778565084058924,0.6049899928181297,0.6049899928181297,,True
20051231172159_ML3.3,TW,DHVB,3.5475484341274024,3.5475484341274024,0.0246431134188398,2,220.04331970214844,220.04331970214844,220.04331970214844,3.299999952316284,435.4194084386297,418.6315515610316,2005-12-31T17:23:09.279002,2005-12-31T17:24:29.394546,2005-12-31T17:23:09.279002,header,SEISAN_HUTTON_NM,3.5649737467354132,3.5301231215193916,3.5878866128104656,435.4194084386297,401.84369468343345,459.00841709036735,3.5475484341274024,0.0246431134188398,3.5878866128104656,0.0403381786830632,0.2475484818111182,0.2475484818111182,,True
20051231172159_ML3.3,TW,LCVB,3.817576060341925,3.817576060341925,0.1256574322269038,2,180.39691162109375,180.39691162109375,180.39691162109375,3.299999952316284,1416.0051106857547,1178.252096315515,2005-12-31T17:22:57.359004,2005-12-31T17:24:02.963608,2005-12-31T17:22:57.359004,header,SEISAN_HUTTON_NM,3.906429282776058,3.728722837907792,3.545252854864734,1416.0051106857547,940.4990819452752,616.4365666679992,3.817576060341925,0.1256574322269038,3.545252854864734,-0.2723232054771909,0.5175761080256409,0.5175761080256409,,True
20051231172159_ML3.3,TW,MCVB,3.615748339255209,3.615748339255209,0.0183887282284281,2,284.2530212402344,284.2530212402344,284.2530212402344,3.299999952316284,287.01214494801894,278.671209748765,2005-12-31T17:23:20.499003,2005-12-31T17:25:12.201014,2005-12-31T17:23:20.499003,header,SEISAN_HUTTON_NM,3.6287511336829272,3.602745544827491,3.661769285322425,287.01214494801894,270.33027454951105,309.68375620900355,3.615748339255209,0.0183887282284281,3.661769285322425,0.0460209460672156,0.315748386938925,0.315748386938925,,True
20051231172159_ML3.3,TW,TGVB,3.6823103121678455,3.6823103121678455,0.1302025546381491,2,211.58181762695312,211.58181762695312,211.58181762695312,3.299999952316284,764.1996328009038,632.1588856710612,2005-12-31T17:23:06.199000,2005-12-31T17:24:23.753545,2005-12-31T17:23:06.199000,header,SEISAN_HUTTON_NM,3.7743774214802928,3.5902432028553983,3.4676035285217317,764.1996328009038,500.11813854121846,377.0795079626936,3.6823103121678455,0.1302025546381491,3.4676035285217317,-0.2147067836461138,0.3823103598515613,0.3823103598515613,,True
20051231172159_ML3.3,TW,TTVB,3.5275595000716367,3.5275595000716367,0.1399384332246492,2,212.33831787109375,212.33831787109375,212.33831787109375,3.299999952316284,539.7467062893259,440.97617615249055,2005-12-31T17:23:07.769000,2005-12-31T17:24:24.257879,2005-12-31T17:23:07.769000,header,SEISAN_HUTTON_NM,3.626510915153407,3.4286080849898664,3.5173622970723795,539.7467062893259,342.2056460156552,419.798983575654,3.5275595000716367,0.1399384332246492,3.5173622970723795,-0.0101972029992571,0.2275595477553524,0.2275595477553524,,True
20060106182759_ML3.6,TW,DBVB,4.307555667603053,4.307555667603053,0.0037051736988601,2,97.6240234375,97.6240234375,97.6240234375,3.5999999046325684,10168.532404385109,10107.55762731901,2006-01-06T18:28:38.729994,2006-01-06T18:29:11.982682,2006-01-06T18:28:38.729994,header,SEISAN_HUTTON_NM,4.304935714155115,4.310175621050991,3.9115100896485497,10046.582850252911,10168.532404385109,4060.623704430816,4.307555667603053,0.0037051736988601,3.9115100896485497,-0.3960455779545029,0.7075557629704843,0.7075557629704843,,True
20060106182759_ML3.6,TW,LCVB,3.9893439738446737,3.9893439738446737,0.0294680033907212,2,74.96392059326172,74.96392059326172,74.96392059326172,3.5999999046325684,7540.725727965039,7195.745557510082,2006-01-06T18:28:31.209998,2006-01-06T18:28:56.875947,2006-01-06T18:28:31.209998,header,SEISAN_HUTTON_NM,3.9685069488190665,4.010180998870281,3.787375392318568,6850.765387055125,7540.725727965039,4514.477972609487,3.9893439738446737,0.0294680033907212,3.787375392318568,-0.2019685815261058,0.3893440692121053,0.3893440692121053,,True
20060106182759_ML3.6,TW,MCVB,4.4638783266212885,4.4638783266212885,0.1251987954123236,2,266.3656921386719,266.3656921386719,266.3656921386719,3.5999999046325684,2797.017522456635,2328.775208092732,2006-01-06T18:29:28.199995,2006-01-06T18:31:04.477128,2006-01-06T18:29:28.199995,header,SEISAN_HUTTON_NM,4.375349409388847,4.55240724385373,4.3929796270584225,1860.532893728829,2797.017522456635,1937.6153676926149,4.4638783266212885,0.1251987954123236,4.3929796270584225,-0.0708986995628659,0.8638784219887201,0.8638784219887201,,True
20060106182759_ML3.6,TW,TGVB,4.133247214871902,4.133247214871902,0.2093966640088369,2,115.4921417236328,115.4921417236328,115.4921417236328,3.5999999046325684,7304.654262510346,5499.204532815399,2006-01-06T18:28:42.800002,2006-01-06T18:29:23.894761,2006-01-06T18:28:42.800002,header,SEISAN_HUTTON_NM,3.9851814137934127,4.281313015950392,3.93638960001018,3693.754803120452,7304.654262510346,3301.233542656078,4.133247214871902,0.2093966640088369,3.93638960001018,-0.196857614861722,0.533247310239334,0.533247310239334,,True
