event,sta,ML_cal,ML_header,ML_diff
20051231172159_ML3.3,DBVB,4.086821085251907,3.299999952316284,0.7868211329356232
20051231172159_ML3.3,DHVB,4.379467374207621,3.299999952316284,1.0794674218913372
20051231172159_ML3.3,LCVB,4.282028735679061,3.299999952316284,0.982028783362777
20051231172159_ML3.3,MCVB,4.007262693034455,3.299999952316284,0.7072627407181704
20051231172159_ML3.3,TGVB,3.996128267266989,3.299999952316284,0.6961283149507049
20051231172159_ML3.3,TTVB,3.8378203944019376,3.299999952316284,0.5378204420856534
20060106182759_ML3.6,DBVB,4.960232509083078,3.5999999046325684,1.36023260445051
20060106182759_ML3.6,DHVB,4.507734086970327,3.5999999046325684,0.9077341823377588
20060106182759_ML3.6,LCVB,4.7059106594041875,3.5999999046325684,1.1059107547716192
20060106182759_ML3.6,MCVB,4.267162360194808,3.5999999046325684,0.6671624555622397
20060106182759_ML3.6,TGVB,4.952831586244546,3.5999999046325684,1.3528316816119776
20060106182759_ML3.6,TTVB,4.5348838679233,3.5999999046325684,0.9348839632907318
20060106182808,DBVB,4.960232509083078,3.5999999046325684,1.36023260445051
20060106182808,DHVB,4.507734086970327,3.5999999046325684,0.9077341823377588
20060106182808,LCVB,4.7059106594041875,3.5999999046325684,1.1059107547716192
20060106182808,MCVB,4.267162360194808,3.5999999046325684,0.6671624555622397
20060106182808,TGVB,4.952831586244546,3.5999999046325684,1.3528316816119776
20060106182808,TTVB,4.5348838679233,3.5999999046325684,0.9348839632907318
20060112010459_ML4.8,DBVB,2.8904083811319743,4.800000190734863,-1.909591809602889
20060112010459_ML4.8,LCVB,2.859118695578702,4.800000190734863,-1.940881495156162
20060112010459_ML4.8,TGVB,5.43759316540007,4.800000190734863,0.6375929746652069
20060115142929_ML3.0,DBVB,3.9144096369166625,3.0,0.9144096369166624
20060115142929_ML3.0,DSVB,3.673091668658629,3.0,0.6730916686586284
20060115142929_ML3.0,LCVB,3.759709710593499,3.0,0.7597097105934991
20060115142929_ML3.0,TGVB,1.7429194005029274,3.0,-1.2570805994970726
20060226161229_ML3.5,BGVB,4.2238576481243735,3.5,0.7238576481243735
20060226161229_ML3.5,DBVB,2.319869917562279,3.5,-1.1801300824377212
20060226161229_ML3.5,DSVB,4.554741511798218,3.5,1.054741511798218
20060226161229_ML3.5,HBVB,4.780792267768978,3.5,1.2807922677689776
20060226161229_ML3.5,LAVB,4.305236705830852,3.5,0.8052367058308523
20060226161229_ML3.5,LCVB,4.740798722030046,3.5,1.2407987220300465
20060226161229_ML3.5,MCVB,4.5138084770670535,3.5,1.0138084770670537
20060226161229_ML3.5,TGVB,1.664469754156931,3.5,-1.835530245843069
20060226161229_ML3.5,THVB,3.926305186957144,3.5,0.4263051869571441
20060226161229_ML3.5,TTVB,4.100839375031684,3.5,0.6008393750316836
20060316162059_ML3.2,BGVB,4.07217430631688,3.200000047683716,0.872174258633164
20060316162059_ML3.2,DBVB,4.237649648260125,3.200000047683716,1.037649600576409
20060316162059_ML3.2,DHVB,4.535960507630577,3.200000047683716,1.335960459946861
20060316162059_ML3.2,DSVB,3.705325675095504,3.200000047683716,0.5053256274117883
20060316162059_ML3.2,HBVB,4.73675779310167,3.200000047683716,1.5367577454179546
20060316162059_ML3.2,LAVB,3.7459600193908904,3.200000047683716,0.5459599717071746
20060316162059_ML3.2,MCVB,3.834094100131637,3.200000047683716,0.6340940524479213
20060316162059_ML3.2,TGVB,3.7554038523326527,3.200000047683716,0.5554038046489369
20060403170559_ML3.8,BGVB,5.303421380050194,3.799999952316284,1.50342142773391
20060403170559_ML3.8,DSVB,5.060374298858302,3.799999952316284,1.260374346542018
20060403170559_ML3.8,HBVB,5.261011961932759,3.799999952316284,1.461012009616475
20060403170559_ML3.8,LAVB,5.025563300185549,3.799999952316284,1.2255633478692651
20060403170559_ML3.8,THVB,4.960687024843118,3.799999952316284,1.1606870725268337
20060403170559_ML3.8,VIVB,4.677593075833665,3.799999952316284,0.8775931235173804
20060516142759_ML2.5,KMI,3.561830715903642,3.4000000953674316,0.161830620536211
20060516142759_ML2.5,SLVB,3.995991747283022,3.4000000953674316,0.5959916519155906
20060516142759_ML2.5,TTVB,4.212910856966851,3.4000000953674316,0.8129107615994196
20061111184259_ML3.8,DBVB,4.653458428370695,3.799999952316284,0.8534584760544108
20061111184259_ML3.8,HGVB,4.57963469329594,3.799999952316284,0.779634740979656
20061111184259_ML3.8,LCVB,4.797716967836925,3.799999952316284,0.9977170155206404
20061111184259_ML3.8,SLVB,3.4487488966667517,3.299999952316284,0.1487489443504674
20061111184259_ML3.8,SPVB,4.7120458016053055,3.799999952316284,0.9120458492890212
20061111184259_ML3.8,TGVB,4.377280359768078,3.799999952316284,0.5772804074517941
20061111184559,KMI,4.4407211889055285,3.799999952316284,0.6407212365892443
20061111184559,DBVB,4.653458428370695,3.799999952316284,0.8534584760544108
20061111184559,HGVB,4.57963469329594,3.799999952316284,0.779634740979656
20061111184559,LCVB,4.797716967836925,3.799999952316284,0.9977170155206404
20061111184559,SPVB,4.7120458016053055,3.799999952316284,0.9120458492890212
20061111184559,TGVB,4.377280359768078,3.799999952316284,0.5772804074517941
20061123174859_ML3.0,DBVB,3.5709802534675865,3.0,0.5709802534675865
20061123174859_ML3.0,HGVB,3.3320734349627057,3.0,0.3320734349627057
20061123174859_ML3.0,LCVB,4.228009016834487,3.0,1.2280090168344868
20061123174859_ML3.0,SLVB,3.201029085208854,3.0,0.2010290852088538
20061123174859_ML3.0,SPVB,3.981332559497872,3.0,0.981332559497872
20061123174859_ML3.0,TTVB,3.2722816247266584,3.0,0.2722816247266584
20061123174859_ML3.0,VTVB,4.495510826234252,3.0,1.495510826234252
20061123175055,DBVB,3.5709802534675865,3.0,0.5709802534675865
20061123175055,HGVB,3.3320734349627057,3.0,0.3320734349627057
20061123175055,LCVB,4.228009016834487,3.0,1.2280090168344868
20061123175055,SLVB,3.201029085208854,3.0,0.2010290852088538
20061123175055,SPVB,3.981332559497872,3.0,0.981332559497872
20061123175055,TTVB,3.2722816247266584,3.0,0.2722816247266584
20061123175055,VTVB,4.495510826234252,3.0,1.495510826234252
20061124120359_ML3.5,KMI,3.9401320313297417,3.5,0.4401320313297416
20061124120359_ML3.5,BCVB,4.962633790656486,3.5,1.4626337906564864
20061124120359_ML3.5,CBVB,4.7467613877102375,3.5,1.2467613877102377
20061124120359_ML3.5,DBVB,4.754779604837584,3.5,1.2547796048375837
20061124120359_ML3.5,DHVB,5.1393646111969185,3.5,1.6393646111969185
20061124120359_ML3.5,HBVB,5.021919662887584,3.5,1.5219196628875844
20061124120359_ML3.5,HGVB,4.545805419054993,3.5,1.045805419054993
20061124120359_ML3.5,HN1B,5.247881751022506,3.5,1.747881751022506
20061124120359_ML3.5,LCVB,4.966879917719458,3.5,1.4668799177194582
20061124120359_ML3.5,LSVB,4.623281505960596,3.5,1.1232815059605956
20061124120359_ML3.5,MCVB,4.434004966277882,3.5,0.9340049662778824
20061124120359_ML3.5,SLVB,4.508594944686635,3.5,1.0085949446866351
20061124120359_ML3.5,SPVB,1.9836522106499488,3.5,-1.5163477893500512
20061124120359_ML3.5,TGVB,4.6045594694675,3.5,1.1045594694674996
20061124120359_ML3.5,TTVB,4.63044125170027,3.5,1.1304412517002698
20061124120359_ML3.5,VTVB,1.3857513785118585,3.5,-2.1142486214881417
20070401185859_ML3.0,CCVB,3.734355081268117,3.0,0.7343550812681165
20070401185859_ML3.0,DBVB,4.21001661414908,3.0,1.2100166141490796
20070401185859_ML3.0,LCVB,3.6705363567220535,3.0,0.6705363567220535
20070401185859_ML3.0,SPVB,3.785366416544349,3.0,0.785366416544349
20070401185859_ML3.0,TGVB,3.6592409529699186,3.0,0.6592409529699186
20070401185859_ML3.0,TTVB,3.872041343530451,3.0,0.8720413435304515
20070502033029_ML-nan,HBVB,2.926897310656717,4.400000095367432,-1.4731027847107143
20070502033029_ML-nan,HN1B,5.750479891460866,4.400000095367432,1.3504797960934347
20070502033029_ML-nan,LCVB,2.3438579637871277,4.400000095367432,-2.056142131580304
20070502033029_ML-nan,MCVB,2.6722100577721393,4.400000095367432,-1.7277900375952924
20070502033029_ML-nan,SLVB,2.3948191283273146,4.400000095367432,-2.005180967040117
20070502033029_ML-nan,SPVB,5.067838292313745,4.400000095367432,0.6678381969463132
20070502033029_ML-nan,TGVB,2.0954596452239116,4.400000095367432,-2.30454045014352
20070502033029_ML-nan,THVB,5.560658460711549,4.400000095367432,1.1606583653441174
20070502033029_ML-nan,TTVB,2.3376683515061334,4.400000095367432,-2.0623317438612982
20070502033029_ML-nan,VTVB,3.8524544668583554,4.400000095367432,-0.5475456285090763
20070502035959_ML3.5,CCVB,4.6812830158727845,3.5,1.1812830158727845
