event,net,sta,comp,distance,header_ML,ML,origin_time,p_pick,p_source,s_pick,s_source,surface_pick,amp_window_start,amp_window_end,peak_time,amplitude_raw_velocity,amplitude_scaled_mm,peak_signed,amp_scale,amp_scale_mode,event_average_ML,reference_ML,reference_ML_source,ML_diff_calc_minus_ref
20051231172159_ML3.3,TW,MCVB,HHZ,284.2530212402344,3.299999952316284,3.9547202208834884,2005-12-31T17:22:22.897999,2005-12-31T17:23:05.938008,header,2005-12-31T17:23:38.698002,header,2005-12-31T17:25:32.400014,2005-12-31T17:23:38.698002,2005-12-31T17:25:30.400014,2005-12-31T17:23:45.977999,1267.2706056954469,1.2672706056954468,-1267.2706056954469,0.001,auto,4.099517741578271,3.299999952316284,header,0.6547202685672042
20051231172159_ML3.3,TW,TGVB,HHE,211.58181762695312,3.299999952316284,3.930130647914885,2005-12-31T17:22:11.578000,2005-12-31T17:22:44.628003,header,2005-12-31T17:23:13.078000,header,2005-12-31T17:24:32.632545,2005-12-31T17:23:13.078000,2005-12-31T17:24:30.632545,2005-12-31T17:23:13.268000,2280.1323227322027,2.280132322732203,-2280.1323227322027,0.001,auto,4.099517741578271,3.299999952316284,header,0.6301306955986008
20051231172159_ML3.3,TW,TGVB,HHN,211.58181762695312,3.299999952316284,3.996128267266989,2005-12-31T17:22:11.578000,2005-12-31T17:22:44.628003,header,2005-12-31T17:23:13.078000,header,2005-12-31T17:24:32.632545,2005-12-31T17:23:13.078000,2005-12-31T17:24:30.632545,2005-12-31T17:23:13.608000,2654.346837167519,2.654346837167519,2654.346837167519,0.001,auto,4.099517741578271,3.299999952316284,header,0.6961283149507049
20051231172159_ML3.3,TW,TGVB,HHZ,211.58181762695312,3.299999952316284,4.099712464513013,2005-12-31T17:22:11.578000,2005-12-31T17:22:44.628003,header,2005-12-31T17:23:13.078000,header,2005-12-31T17:24:32.632545,2005-12-31T17:23:13.078000,2005-12-31T17:24:30.632545,2005-12-31T17:23:13.828000,3369.3169572413613,3.3693169572413613,-3369.3169572413613,0.001,auto,4.099517741578271,3.299999952316284,header,0.799712512196729
20051231172159_ML3.3,TW,TTVB,HHE,212.33831787109375,3.299999952316284,3.839719924726036,2005-12-31T17:22:11.378000,2005-12-31T17:22:45.907999,header,2005-12-31T17:23:14.448000,header,2005-12-31T17:24:32.936878,2005-12-31T17:23:14.448000,2005-12-31T17:24:30.936878,2005-12-31T17:23:16.768000,1838.226448142027,1.8382264481420272,1838.226448142027,0.001,auto,4.099517741578271,3.299999952316284,header,0.5397199724097517
20051231172159_ML3.3,TW,TTVB,HHN,212.33831787109375,3.299999952316284,3.8378203944019376,2005-12-31T17:22:11.378000,2005-12-31T17:22:45.907999,header,2005-12-31T17:23:14.448000,header,2005-12-31T17:24:32.936878,2005-12-31T17:23:14.448000,2005-12-31T17:24:30.936878,2005-12-31T17:23:18.808000,1830.2039151621323,1.8302039151621323,-1830.2039151621323,0.001,auto,4.099517741578271,3.299999952316284,header,0.5378204420856534
20051231172159_ML3.3,TW,TTVB,HHZ,212.33831787109375,3.299999952316284,3.8810597758158076,2005-12-31T17:22:11.378000,2005-12-31T17:22:45.907999,header,2005-12-31T17:23:14.448000,header,2005-12-31T17:24:32.936878,2005-12-31T17:23:14.448000,2005-12-31T17:24:30.936878,2005-12-31T17:23:14.588000,2021.803115660816,2.0218031156608163,2021.803115660816,0.001,auto,4.099517741578271,3.299999952316284,header,0.5810598234995235
20060106182759_ML3.6,TW,DBVB,HHE,97.6240234375,3.5999999046325684,4.9079664222054875,2006-01-06T18:27:59.998000,2006-01-06T18:28:16.557997,header,2006-01-06T18:28:29.827994,header,2006-01-06T18:29:05.080682,2006-01-06T18:28:29.827994,2006-01-06T18:29:03.080682,2006-01-06T18:28:40.518000,83955.48563194966,83.95548563194966,-83955.48563194966,0.001,auto,4.570865499248653,3.5999999046325684,header,1.3079665175729192
20060106182759_ML3.6,TW,DBVB,HHN,97.6240234375,3.5999999046325684,4.960232509083078,2006-01-06T18:27:59.998000,2006-01-06T18:28:16.557997,header,2006-01-06T18:28:29.827994,header,2006-01-06T18:29:05.080682,2006-01-06T18:28:29.827994,2006-01-06T18:29:03.080682,2006-01-06T18:28:40.238000,94692.40893896756,94.69240893896756,94692.40893896756,0.001,auto,4.570865499248653,3.5999999046325684,header,1.36023260445051
20060106182759_ML3.6,TW,DBVB,HHZ,97.6240234375,3.5999999046325684,4.574562011729789,2006-01-06T18:27:59.998000,2006-01-06T18:28:16.557997,header,2006-01-06T18:28:29.827994,header,2006-01-06T18:29:05.080682,2006-01-06T18:28:29.827994,2006-01-06T18:29:03.080682,2006-01-06T18:28:41.378000,38962.30732440604,38.96230732440604,38962.30732440604,0.001,auto,4.570865499248653,3.5999999046325684,header,0.9745621070972206
20060106182759_ML3.6,TW,DHVB,HHE,289.0690612792969,3.5999999046325684,4.430849503324754,2006-01-06T18:28:27.948000,2006-01-06T18:29:11.527995,header,2006-01-06T18:29:40.808001,header,2006-01-06T18:31:40.660708,2006-01-06T18:29:40.808001,2006-01-06T18:31:38.660708,2006-01-06T18:29:45.928000,3645.8364959228334,3.6458364959228335,-3645.8364959228334,0.001,auto,4.570865499248653,3.5999999046325684,header,0.8308495986921853
20060106182759_ML3.6,TW,DHVB,HHN,289.0690612792969,3.5999999046325684,4.507734086970327,2006-01-06T18:28:27.948000,2006-01-06T18:29:11.527995,header,2006-01-06T18:29:40.808001,header,2006-01-06T18:31:40.660708,2006-01-06T18:29:40.808001,2006-01-06T18:31:38.660708,2006-01-06T18:29:41.168000,4351.92870219486,4.3519287021948605,4351.92870219486,0.001,auto,4.570865499248653,3.5999999046325684,header,0.9077341823377587
20060106182759_ML3.6,TW,DHVB,HHZ,289.0690612792969,3.5999999046325684,4.44606456684581,2006-01-06T18:28:27.948000,2006-01-06T18:29:11.527995,header,2006-01-06T18:29:40.808001,header,2006-01-06T18:31:40.660708,2006-01-06T18:29:40.808001,2006-01-06T18:31:38.660708,2006-01-06T18:29:47.188000,3775.8284248659484,3.7758284248659484,3775.8284248659484,0.001,auto,4.570865499248653,3.5999999046325684,header,0.8460646622132417
20060106182759_ML3.6,TW,LCVB,HHE,74.96392059326172,3.5999999046325684,4.7653271780772055,2006-01-06T18:27:59.998000,2006-01-06T18:28:12.788000,header,2006-01-06T18:28:22.307997,header,2006-01-06T18:28:49.973947,2006-01-06T18:28:22.307997,2006-01-06T18:28:47.973947,2006-01-06T18:28:36.768000,89445.67052485651,89.44567052485651,89445.67052485651,0.001,auto,4.570865499248653,3.5999999046325684,header,1.1653272734446372
20060106182759_ML3.6,TW,LCVB,HHN,74.96392059326172,3.5999999046325684,4.7059106594041875,2006-01-06T18:27:59.998000,2006-01-06T18:28:12.788000,header,2006-01-06T18:28:22.307997,header,2006-01-06T18:28:49.973947,2006-01-06T18:28:22.307997,2006-01-06T18:28:47.973947,2006-01-06T18:28:36.008000,78008.65776722741,78.00865776722742,-78008.65776722741,0.001,auto,4.570865499248653,3.5999999046325684,header,1.1059107547716192
20060106182759_ML3.6,TW,LCVB,HHZ,74.96392059326172,3.5999999046325684,4.45400798420258,2006-01-06T18:27:59.998000,2006-01-06T18:28:12.788000,header,2006-01-06T18:28:22.307997,header,2006-01-06T18:28:49.973947,2006-01-06T18:28:22.307997,2006-01-06T18:28:47.973947,2006-01-06T18:28:32.428000,43675.725741317285,43.67572574131729,-43675.725741317285,0.001,auto,4.570865499248653,3.5999999046325684,header,0.8540080795700113
20060106182759_ML3.6,TW,MCVB,HHE,266.3656921386719,3.5999999046325684,4.2113210675031745,2006-01-06T18:28:25.338000,2006-01-06T18:29:05.768000,header,2006-01-06T18:29:44.637995,header,2006-01-06T18:31:22.915128,2006-01-06T18:29:44.637995,2006-01-06T18:31:20.915128,2006-01-06T18:29:48.268000,2658.3307241905854,2.6583307241905856,-2658.3307241905854,0.001,auto,4.570865499248653,3.5999999046325684,header,0.6113211628706061
20060106182759_ML3.6,TW,MCVB,HHN,266.3656921386719,3.5999999046325684,4.267162360194808,2006-01-06T18:28:25.338000,2006-01-06T18:29:05.768000,header,2006-01-06T18:29:44.637995,header,2006-01-06T18:31:22.915128,2006-01-06T18:29:44.637995,2006-01-06T18:31:20.915128,2006-01-06T18:29:46.768000,3023.084617477145,3.023084617477145,3023.084617477145,0.001,auto,4.570865499248653,3.5999999046325684,header,0.6671624555622397
20060106182759_ML3.6,TW,MCVB,HHZ,266.3656921386719,3.5999999046325684,4.480529461754402,2006-01-06T18:28:25.338000,2006-01-06T18:29:05.768000,header,2006-01-06T18:29:44.637995,header,2006-01-06T18:31:22.915128,2006-01-06T18:29:44.637995,2006-01-06T18:31:20.915128,2006-01-06T18:29:44.708000,4941.029024283814,4.9410290242838135,-4941.029024283814,0.001,auto,4.570865499248653,3.5999999046325684,header,0.8805295571218332
20060106182759_ML3.6,TW,TGVB,HHE,115.49214172363281,3.5999999046325684,4.872742009118761,2006-01-06T18:27:59.998000,2006-01-06T18:28:19.218001,header,2006-01-06T18:28:33.898001,header,2006-01-06T18:29:16.992761,2006-01-06T18:28:33.898001,2006-01-06T18:29:14.992761,2006-01-06T18:28:45.388000,59433.13761361412,59.43313761361412,59433.13761361412,0.001,auto,4.570865499248653,3.5999999046325684,header,1.272742104486193
20060106182759_ML3.6,TW,TGVB,HHN,115.49214172363281,3.5999999046325684,4.952831586244546,2006-01-06T18:27:59.998000,2006-01-06T18:28:19.218001,header,2006-01-06T18:28:33.898001,header,2006-01-06T18:29:16.992761,2006-01-06T18:28:33.898001,2006-01-06T18:29:14.992761,2006-01-06T18:28:45.088000,71469.08720963643,71.46908720963643,-71469.08720963643,0.001,auto,4.570865499248653,3.5999999046325684,header,1.3528316816119776
20060106182759_ML3.6,TW,TGVB,HHZ,115.49214172363281,3.5999999046325684,4.6360349673800005,2006-01-06T18:27:59.998000,2006-01-06T18:28:19.218001,header,2006-01-06T18:28:33.898001,header,2006-01-06T18:29:16.992761,2006-01-06T18:28:33.898001,2006-01-06T18:29:14.992761,2006-01-06T18:28:44.978000,34460.50333624316,34.46050333624316,34460.50333624316,0.001,auto,4.570865499248653,3.5999999046325684,header,1.0360350627474322
20060106182759_ML3.6,TW,TTVB,HHE,212.66404724121094,3.5999999046325684,4.330408653489466,2006-01-06T18:28:15.188000,2006-01-06T18:28:47.897999,header,2006-01-06T18:29:11.987996,header,2006-01-06T18:30:36.964032,2006-01-06T18:29:11.987996,2006-01-06T18:30:34.964032,2006-01-06T18:29:13.958000,5671.960284717677,5.671960284717676,-5671.960284717677,0.001,auto,4.570865499248653,3.5999999046325684,header,0.730408748856898
20060106182759_ML3.6,TW,TTVB,HHN,212.66404724121094,3.5999999046325684,4.5348838679233,2006-01-06T18:28:15.188000,2006-01-06T18:28:47.897999,header,2006-01-06T18:29:11.987996,header,2006-01-06T18:30:36.964032,2006-01-06T18:29:11.987996,2006-01-06T18:30:34.964032,2006-01-06T18:29:18.478000,9082.562512747245,9.082562512747245,9082.562512747245,0.001,auto,4.570865499248653,3.5999999046325684,header,0.9348839632907318
